article_id,full_name,sex,birth_year,city,state,country,continent,latitude,longitude,occupation,industry,domain,article_languages,page_views,average_views,historical_popularity_index,HPI
519607,Kathy Bates,Female,1948,Memphis,TN,United States,North America,35.11737,-89.97107,Actor,Film And Theatre,Arts,49,7692627,156992,23.5064,61.62048258
144178,Sathya Sai Baba,Male,1926,Puttaparthi,,India,Asia,14.16517,77.81167,Producer,Business,Business & Law,51,7296971,143078,23.5061,61.619126
74261,Pope Constantine,Male,664,Syria,,Syria,Asia,36.2,36.15,Religious Figure,Religion,Institutions,50,290894,5818,23.5057,61.61731722
82491,Fernando Henrique Cardoso,Male,1931,Rio de Janeiro,,Brazil,South America,-22.90833,-43.19639,Politician,Government,Institutions,37,2557129,69112,23.5043,61.61098651
316457,Saionji Kinmochi,Male,1849,Kyoto,,Japan,Asia,35.01167,135.76833,Politician,Government,Institutions,28,1020567,36449,23.5037,61.60827334
396539,Polykarp Kusch,Male,1911,Blankenburg,,Germany,Europe,51.8,10.967,Physicist,Natural Sciences,Science & Technology,42,282168,6718,23.5034,61.60691676
23738502,Daniel of Moscow,Male,1261,Vladmir,,Russia,Europe,55.75,37.61667,Politician,Government,Institutions,29,471377,16254,23.503,61.60510798
147149,StÃ©phane Grappelli,Male,1908,Paris,,France,Europe,48.8567,2.3508,Musician,Music,Arts,33,887447,26892,23.5026,61.60329921
51083,Mikael Agricola,Male,1510,PernÃ¥,,Finland,Europe,60.45,26.03333,Writer,Language,Humanities,35,507800,14509,23.5026,61.60329921
28761,Sofonisba Anguissola,Female,1532,Cremona,,Italy,Europe,45.13333,10.03333,Artist,Fine Arts,Arts,27,665327,24642,23.5026,61.60329921
573710,Joost van den Vondel,Male,1587,Cologne,,Germany,Europe,50.93639,6.95278,Writer,Language,Humanities,28,487363,17406,23.5002,61.59244655
72591,Pierre de Marivaux,Male,1688,Paris,,France,Europe,48.8567,2.3508,Writer,Language,Humanities,27,1181734,43768,23.4994,61.588829
207509,Albert Lebrun,Male,1871,Mercy-le-Haut,,France,Europe,49.3686,5.8264,Politician,Government,Institutions,30,572856,19095,23.499,61.58702022
771589,Roscellinus,Male,1050,CompiÃ¨gne,,France,Europe,47,2,Philosopher,Philosophy,Humanities,27,143736,5324,23.498,61.58249828
4481,Beatrix Potter,Female,1866,London,,United Kingdom,Europe,51.5004,-0.1909,Writer,Language,Humanities,36,4599533,127765,23.497,61.57797634
312443,Fritz Kreisler,Male,1875,Vienna,,Austria,Europe,48.2,16.36667,Musician,Music,Arts,30,903583,30119,23.497,61.57797634
45181,Clara Schumann,Female,1819,Leipzig,,Germany,Europe,51.33333,12.38333,Musician,Music,Arts,44,8633754,196222,23.4965,61.57571537
209191,Isabel MartÃ­nez de PerÃ³n,Female,1931,La Rioja,,Argentina,South America,-29.4125,-66.85417,Politician,Government,Institutions,40,1951362,48784,23.4965,61.57571537
49185,Trofim Lysenko,Male,1898,Karlivka,,Ukraine,Europe,49.45,35.13333,Biologist,Natural Sciences,Science & Technology,29,868780,29958,23.4962,61.57435879
335179,Rudolf Nureyev,Male,1938,Irkutsk,,Russia,Europe,52.31222,104.29583,Dancer,Dance,Arts,34,2883662,84814,23.4958,61.57255001
670471,Klaus von Klitzing,Male,1943,Åšroda Wielkopolska,,Poland,Europe,52.23333,17.28333,Physicist,Natural Sciences,Science & Technology,42,400758,9542,23.4954,61.57074124
321154,Francis Beaufort,Male,1774,Navan,,Ireland,Europe,53.6528,-6.6814,Geologist,Natural Sciences,Science & Technology,28,290404,10372,23.4953,61.57028904
392284,JosÃ© Eduardo dos Santos,Male,1942,Luanda,,Angola,Africa,-8.83833,13.23444,Politician,Government,Institutions,53,1342446,25329,23.494,61.56441052
549297,Maximilian von Weichs,Male,1881,Dessau,,Germany,Europe,51.82224,12.24244,Military Personnel,Military,Institutions,26,619532,23828,23.4933,61.56124516
234841,Max Brod,Male,1884,Prague,,Czech Republic,Europe,50.08333,14.41667,Writer,Language,Humanities,38,637665,16781,23.4929,61.55943639
79448,Ralph Vaughan Williams,Male,1872,Down Ampney,,United Kingdom,Europe,51.66667,-1.85,Composer,Music,Arts,34,2021552,59457,23.4928,61.55898419
59533,Lou Reed,Male,1942,New York,NY,United States,North America,40.69278,-73.99028,Musician,Music,Arts,41,12574622,306698,23.4926,61.5580798
69914,Henrik Dam,Male,1895,Copenhagen,,Denmark,Europe,55.67611,12.56833,Chemist,Natural Sciences,Science & Technology,39,202737,5198,23.4915,61.55310567
26546076,Richard Attenborough,Male,1923,Cambridge,,United Kingdom,Europe,52.205,0.119,Film Director,Film And Theatre,Arts,38,5490284,144481,23.4914,61.55265347
526592,Michael York,Male,1942,Fulmer,,United Kingdom,Europe,51.561,-0.558,Actor,Film And Theatre,Arts,27,841469,31166,23.4906,61.54903592
17121,Kurt Schwitters,Male,1887,Hanover,,Germany,Europe,52.36667,9.71667,Artist,Fine Arts,Arts,27,1609436,59609,23.4905,61.54858373
164390,John Hurt,Male,1940,Chesterfield,,United Kingdom,Europe,53.23583,-1.4275,Actor,Film And Theatre,Arts,37,8169531,220798,23.4889,61.54134862
2317680,Pina Bausch,Female,1940,Solingen,,Germany,Europe,51.16667,7.08333,Dancer,Dance,Arts,30,2934637,97821,23.4887,61.54044424
29636499,V.S. Naipaul,Male,1932,Chaguanas,,Trinidad And Tobago,North America,10.5,-61.38333,Writer,Language,Humanities,67,1663620,24830,23.4878,61.53637449
